qid,in_p17,in_p131,relation_group,has_kkwiki
Q12532467,1,1,P17+P131,1
Q31510801,1,0,P17_only,0
Q13664037,1,1,P17+P131,1
Q13652673,0,1,P131_only,1
Q4069726,1,1,P17+P131,1
Q32214221,1,0,P17_only,0
Q12532659,1,0,P17_only,1
Q112003945,1,0,P17_only,0
Q13643061,0,1,P131_only,0
Q123363719,1,0,P17_only,0
Q32198997,1,1,P17+P131,0
Q32198468,1,0,P17_only,0
Q135829038,1,0,P17_only,0
Q32173117,1,0,P17_only,0
Q16273613,1,1,P17+P131,1
Q16681566,1,1,P17+P131,1
Q123363489,1,0,P17_only,0
Q13647962,1,1,P17+P131,1
Q4503781,1,1,P17+P131,0
Q22203327,1,1,P17+P131,1
Q12560421,1,1,P17+P131,1
Q16667504,1,1,P17+P131,1
Q698941,1,1,P17+P131,1
Q12536462,1,1,P17+P131,1
Q32172583,1,0,P17_only,0
Q32198047,1,0,P17_only,0
Q2737304,1,1,P17+P131,1
Q12550967,1,0,P17_only,1
Q112584879,0,1,P131_only,0
Q16537062,0,1,P131_only,1
Q12531701,1,1,P17+P131,1
Q32170514,0,1,P131_only,0
Q27355062,1,0,P17_only,0
Q13642256,1,1,P17+P131,1
Q32198255,1,0,P17_only,0
Q12533117,1,0,P17_only,1
Q112295819,1,1,P17+P131,0
Q12647295,1,0,P17_only,0
Q86674863,1,0,P17_only,1
Q113988484,1,0,P17_only,0
Q135829880,1,0,P17_only,0
Q16651078,1,1,P17+P131,1
Q16656899,1,1,P17+P131,1
Q56307892,1,1,P17+P131,0
Q123363651,1,0,P17_only,0
Q13643213,0,1,P131_only,1
Q61368263,1,1,P17+P131,1
Q20098371,1,1,P17+P131,1
Q60851546,1,0,P17_only,1
Q931971,1,0,P17_only,1
Q22204899,1,1,P17+P131,1
Q20486159,1,0,P17_only,1
