p31,articles,median_words,mean_words,median_references,mean_references,median_images,mean_images,median_internal_links,mean_internal_links,no_references,no_images,under_250_words,short_unreferenced,thin_articles,label_en,label_kk,label_ru,no_references_pct,no_images_pct,under_250_words_pct,short_unreferenced_pct,thin_articles_pct
Q748198,7,241.0,505.86,0.0,6.43,0.0,0.86,2.0,2.71,6,6,6,6,6,,,,85.71,85.71,85.71,85.71,85.71
Q748720,2,178.5,178.5,1.0,1.0,0.5,0.5,6.5,6.5,0,1,1,0,0,,,,0.0,50.0,50.0,0.0,0.0
Q74892521,3,221.0,449.67,1.0,1.0,1.0,0.67,18.0,16.33,0,1,2,0,0,,,,0.0,33.33,66.67,0.0,0.0
Q749316,1,77.0,77.0,0.0,0.0,1.0,1.0,8.0,8.0,1,0,1,1,0,,,,100.0,0.0,100.0,100.0,0.0
Q749565,4,190.0,405.0,1.0,1.0,0.0,0.0,7.5,22.0,1,4,3,1,1,structural basin,қазаншұңқыр,котловина,25.0,100.0,75.0,25.0,25.0
Q7495728,1,601.0,601.0,6.0,6.0,3.0,3.0,4.0,4.0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0
Q749622,2,75.0,75.0,0.0,0.0,1.5,1.5,2.0,2.0,2,0,2,2,0,,,,100.0,0.0,100.0,100.0,0.0
Q750215,8,508.0,614.75,4.5,10.5,0.0,0.12,16.5,30.12,0,7,0,0,0,mass murder,mass murder,массовое убийство,0.0,87.5,0.0,0.0,0.0
Q75054287,9,1058.0,997.33,1.0,1.67,3.0,3.44,81.0,81.22,0,1,1,0,0,music by country or region,music by country or region,музыка территории,0.0,11.11,11.11,0.0,0.0
Q75135129,1,109.0,109.0,1.0,1.0,0.0,0.0,5.0,5.0,0,1,1,0,0,,,,0.0,100.0,100.0,0.0,0.0
Q7513679,1,203.0,203.0,5.0,5.0,2.0,2.0,5.0,5.0,0,0,1,0,0,,,,0.0,0.0,100.0,0.0,0.0
Q751518,2,359.0,359.0,0.0,0.0,1.5,1.5,48.0,48.0,2,1,0,0,0,,,,100.0,50.0,0.0,0.0,0.0
Q751708,818,237.0,237.96,0.0,0.01,0.0,0.0,2.0,2.03,808,818,808,807,807,,,,98.78,100.0,98.78,98.66,98.66
Q751722,1,170.0,170.0,1.0,1.0,1.0,1.0,7.0,7.0,0,0,1,0,0,,,,0.0,0.0,100.0,0.0,0.0
