p31,observed_entities,covered_entities,external_gap_entities,observed_coverage_pct,wiki_2plus,wiki_5plus,wiki_10plus,mean_other_wikipedias,label_en,label_kk,label_ru
Q33384,2,0,2,0.0,2,1,0,4.5,dialect,диалект,диалект
Q334383,1,0,1,0.0,1,1,0,6.0,abbey church,abbey church,монастырский храм
Q33506,49,37,12,75.51,4,2,0,2.17,museum,мұражай,музей
Q3352470,1,1,0,100.0,0,0,0,,,,
Q337060,1,1,0,100.0,0,0,0,,,,
Q33742,11,10,1,90.91,1,1,1,11.0,natural language,natural language,естественный язык
Q33829,1,1,0,100.0,0,0,0,,,,
Q338313,1,1,0,100.0,0,0,0,,,,
Q34023,1,0,1,0.0,0,0,0,1.0,tumulus,tumulus,тумулус
Q34038,6,2,4,33.33,3,0,0,1.75,waterfall,Сарқырама,водопад
Q34262807,2,2,0,100.0,0,0,0,,,,
Q34379419,186,82,104,44.09,2,1,0,1.07,sand area,sand area,песчаный массив
Q34439356,1,0,1,0.0,0,0,0,1.0,hurricane,hurricane,ураган
Q34442,135,14,121,10.37,34,18,13,3.07,road,автомобиль жолы,дорога
Q34548322,1,1,0,100.0,0,0,0,,,,
Q34627,1,0,1,0.0,1,0,0,2.0,synagogue,Синагога,синагога
Q34763,15,12,3,80.0,1,1,1,7.33,peninsula,түбек,полуостров
Q34770,4,2,2,50.0,1,1,1,25.5,language,тіл,язык
Q3480697,1,0,1,0.0,0,0,0,1.0,sill,sill,sill
Q349,1,0,1,0.0,1,1,0,9.0,sport,спорт,спорт
Q3497768,2,2,0,100.0,0,0,0,,,,
Q3498533,1,0,1,0.0,1,0,0,2.0,natural gas-fired power station,natural gas-fired power station,natural gas-fired power station
Q3502482,3,3,0,100.0,0,0,0,,,,
Q350604,1,0,1,0.0,0,0,0,1.0,armed conflict,қарулы қақтығыс,вооружённый конфликт
Q350895,2,2,0,100.0,0,0,0,,,,
Q350929,1,0,1,0.0,1,1,1,12.0,vehicle fire,vehicle fire,возгорание транспортного средства
Q35112127,16,3,13,18.75,7,0,0,1.85,historic building,historic building,историческое здание
Q35127,4,2,2,50.0,0,0,0,1.0,website,Сайт,сайт
Q351764,1,0,1,0.0,1,0,0,2.0,e-commerce payment system,e-commerce payment system,электронная платёжная система
Q35509,12,11,1,91.67,0,0,0,1.0,cave,үңгір,пещера
Q355304,4,3,1,75.0,0,0,0,1.0,watercourse,Су ағыны,водоток
Q35535,1,0,1,0.0,1,1,0,5.0,police,Полиция,полиция
Q3558349,1,0,1,0.0,0,0,0,1.0,presidency,presidency,президентство
Q3565868,2,0,2,0.0,2,0,0,3.0,rail transport,темір жол көлігі,железнодорожный транспорт
Q35666,47,37,10,78.72,2,1,1,2.4,glacier,мұздық,ледник
Q3575260,1,1,0,100.0,0,0,0,,,,
Q35798,2,1,1,50.0,1,1,0,5.0,executive branch,атқарушы билік,исполнительная власть
Q358,2,2,0,100.0,0,0,0,,,,
Q358078,3,0,3,0.0,2,2,2,25.67,road network,road network,дорожная сеть
Q35823051,10,0,10,0.0,7,4,0,3.5,nation at the World Athletics Championships,nation at the World Athletics Championships,страны на чемпионате мира по лёгкой атлетике
Q3612735,3,0,3,0.0,3,0,0,2.33,Almaty Cup,Almaty Cup,Almaty Cup
Q3622002,1,1,0,100.0,0,0,0,,,,
Q3624078,1,1,0,100.0,0,0,0,,,,
Q362482,1,1,0,100.0,0,0,0,,,,
Q3664326,1,0,1,0.0,0,0,0,1.0,Pirate Party,Pirate Party,пиратская партия
Q3695082,1,1,0,100.0,0,0,0,,,,
Q369730,1,1,0,100.0,0,0,0,,,,
Q3699460,2,1,1,50.0,0,0,0,1.0,defile,defile,defile
Q37002670,2,2,0,100.0,0,0,0,,,,
Q372690,2,0,2,0.0,0,0,0,1.0,consulate general,consulate general,генеральное консульство
Q373609,4,4,0,100.0,0,0,0,,,,
Q3742928,1,1,0,100.0,0,0,0,,,,
Q375336,2,2,0,100.0,0,0,0,,,,
Q375928,1,1,0,100.0,0,0,0,,,,
Q376799,1,1,0,100.0,0,0,0,,,,
Q376935,1,1,0,100.0,0,0,0,,,,
Q37726,1,1,0,100.0,0,0,0,,,,
Q37736399,1,1,0,100.0,0,0,0,,,,
Q37901,4,1,3,25.0,3,0,0,2.33,strait,бұғаз,пролив
Q3839081,3,0,3,0.0,2,2,1,11.33,disaster,апат,катастрофа
Q386636,1,0,1,0.0,0,0,0,1.0,ultras,ультрас,ультрас
Q38723,5,5,0,100.0,0,0,0,,,,
Q3874020,2,0,2,0.0,0,0,0,1.0,national youth sports team,national youth sports team,молодёжная сборная
Q388602,1,0,1,0.0,0,0,0,1.0,electoral alliance,electoral alliance,избирательный альянс
Q3887,5,0,5,0.0,4,4,4,9.6,solar eclipse,solar eclipse,солнечное затмение
Q3889692,1,1,0,100.0,0,0,0,,,,
Q3910963,11,0,11,0.0,11,2,0,3.27,President's Cup,President's Cup,Кубок президента Казахстана по теннису
Q3914,9,0,9,0.0,4,0,0,1.67,school,мектеп,школа
Q391414,1,1,0,100.0,0,0,0,,,,
Q3917681,21,1,20,4.76,11,0,0,2.0,embassy,елшілік,посольство
Q3918,61,53,8,86.89,3,0,0,1.38,university,университет,университет
Q3947,1,0,1,0.0,0,0,0,1.0,house,үй,дом
Q3957,5,4,1,80.0,1,0,0,4.0,town,қалашық,городок
Q39594,28,19,9,67.86,2,1,1,2.33,bay,шығанақ,залив
Q39614,11,10,1,90.91,1,0,0,2.0,cemetery,зират,кладбище
Q39715,2,2,0,100.0,0,0,0,,,,
Q39816,24,10,14,41.67,3,2,1,2.07,valley,аңғар,долина
Q3982337,4,1,3,25.0,0,0,0,1.0,puppetry company,puppetry company,театр кукол
Q39825,3,3,0,100.0,0,0,0,,,,
Q399495,1,1,0,100.0,0,0,0,,,,
Q4,1,1,0,100.0,0,0,0,,,,
Q40050,1,1,0,100.0,0,0,0,,,,
Q4022,2254,705,1549,31.28,40,5,1,1.05,river,өзен,река
Q40231,15,1,14,6.67,2,1,0,1.36,public election,сайлау,выборы
Q40244,2,1,1,50.0,1,0,0,2.0,marathon,Марафон,марафон
Q40357,1,0,1,0.0,0,0,0,1.0,prison,Абақты,тюрьма
Q405155,1,0,1,0.0,1,1,1,11.0,trade route,trade route,торговый путь
Q4087929,2,0,2,0.0,0,0,0,1.0,deanery,deanery,благочиние
Q4114178,3,3,0,100.0,0,0,0,,,,
Q41176,58,16,42,27.59,9,0,0,1.36,building,building,здание
Q4121104,1,1,0,100.0,0,0,0,,,,
Q41253,12,2,10,16.67,3,1,0,1.6,movie theater,Кинотеатр,кинотеатр
Q41298,6,5,1,83.33,0,0,0,1.0,magazine,журнал,журнал
Q4138169,1,1,0,100.0,0,0,0,,,,
Q414147,1,1,0,100.0,0,0,0,,,,
Q4144557,4,2,2,50.0,0,0,0,1.0,mining and processing plant,mining and processing plant,горно-обогатительный комбинат
Q4164871,16,9,7,56.25,3,0,0,1.71,position,лауазым,должность
Q4167836,1,0,1,0.0,0,0,0,1.0,Wikimedia category,Уикимедиа санаты,категория в проекте Викимедиа
Q41710,31,25,6,80.65,5,4,1,5.5,ethnic group,этникалық топ,этническая группа
Q4171307,1,1,0,100.0,0,0,0,,,,
Q42032,1,1,0,100.0,0,0,0,,,,
Q4208088,1,1,0,100.0,0,0,0,,,,
Q4208097,1,1,0,100.0,0,0,0,,,,
Q420962,1,0,1,0.0,1,0,0,2.0,heritage railway,heritage railway,историческая железная дорога
Q4216603,1,0,1,0.0,0,0,0,1.0,cascade,cascade,каскад ГЭС
Q42195,11,8,3,72.73,0,0,0,1.0,petroglyph,Петроглиф,петроглиф
Q4223017,1,1,0,100.0,0,0,0,,,,
Q422695,1,0,1,0.0,0,0,0,1.0,awareness day,awareness day,памятная дата
Q422710,1,1,0,100.0,0,0,0,,,,
Q423208,2,1,1,50.0,1,0,0,2.0,private school,private school,частная школа
Q42421242,1,1,0,100.0,0,0,0,,,,
Q4271324,1,1,0,100.0,0,0,0,,,,
Q4283953,1,1,0,100.0,0,0,0,,,,
Q4286337,1,1,0,100.0,0,0,0,,,,
Q4291415,3,3,0,100.0,0,0,0,,,,
Q4296769,1,0,1,0.0,1,1,0,5.0,metropolitan district,metropolitan district,митрополичий округ
Q42998,3,2,1,66.67,1,0,0,2.0,orchestra,оркестр,оркестр
Q4306036,1,1,0,100.0,0,0,0,,,,
Q43109,2,1,1,50.0,1,1,0,5.0,referendum,референдум,референдум
Q4318087,2,0,2,0.0,0,0,0,1.0,oil and gas bearing oblast,oil and gas bearing oblast,нефтегазоносная область
Q43229,29,21,8,72.41,3,2,2,6.0,organization,ұйым,организация
Q4329294,1,1,0,100.0,0,0,0,,,,
Q4330260,1,1,0,100.0,0,0,0,,,,
Q4338251,1,0,1,0.0,1,1,0,7.0,MVD special camp,MVD special camp,Особые лагеря
Q43483,5,4,1,80.0,0,0,0,1.0,water well,құдық,колодец
Q43501,3,3,0,100.0,0,0,0,,,,
Q4351849,1,1,0,100.0,0,0,0,,,,
Q4366834,12,9,3,75.0,3,0,0,2.33,transboundary river,Шекаралық өзендер,трансграничная река
Q4375507,2,2,0,100.0,0,0,0,,,,
Q4414032,2327,2317,10,99.57,1,0,0,1.1,rural district of Kazakhstan,Ауылдық округі,сельский округ
Q4421,12,4,8,33.33,0,0,0,1.0,forest,орман,лес
Q4421924,1,0,1,0.0,1,1,1,40.0,orogenic belt,orogenic belt,складчатый пояс
Q4433740,1,0,1,0.0,1,1,1,10.0,women's national basketball team,women's national basketball team,Список женских национальных сборных по баскетболу
Q4438121,4,1,3,25.0,1,0,0,1.33,sports organization,sports organization,спортивная организация
Q4443227,4,3,1,75.0,0,0,0,1.0,Stone Age site,Stone Age site,стоянка
Q44497,1,1,0,100.0,0,0,0,,,,
